number,R²,log2_embed_size,num_layers,log2_layer_0,activation_1,log2_layer_1,activation_2,log2_layer_2,activation_3,final_activation,log2_num_heads,pooling,dropout,lr,epochs,scheduler,schel_gamma,schel_step_size,schel_t_max_mod,shchel_eta_min
0,0.3263200720151265,6,3,6,relu,7.0,identity,4.0,sigmoid,leaky_relu,0,linear,0.0012778767431867565,3.682068020627618e-05,10,none,,,,
1,0.3043077389399211,3,3,2,gelu,8.0,identity,5.0,tanh,gelu,2,linear,0.07085316881510924,0.0006836187375383568,6,none,,,,
2,0.04932661851247152,4,2,3,elu,4.0,gelu,,,gelu,0,linear,0.13857159248944675,1.6710843214880316e-05,8,exponential,0.9466482084663659,,,
3,-0.598469078540802,4,1,2,relu,,,,,gelu,1,mean,0.04127016120776152,0.007712249238416449,10,exponential,0.8874233537154723,,,
4,-0.8333866993586222,5,2,3,gelu,6.0,identity,,,sigmoid,1,mean,0.08040576204383183,1.7310956649839642e-05,9,exponential,0.9507139873271663,,,
5,0.285183310508728,5,1,6,tanh,,,,,leaky_relu,0,mean,0.13383949106402254,0.0013466061562155925,9,exponential,0.8058675133677763,,,
6,-2.1833812395731607,2,3,3,tanh,4.0,elu,3.0,tanh,sigmoid,2,linear,0.017235435669437176,0.00015352172074697455,9,step,0.383966187332235,20.0,,
7,0.42567984263102215,2,3,6,elu,5.0,relu,3.0,identity,identity,2,max,0.10897158875582977,0.00015492235919455265,10,none,,,,
8,0.3483339349428813,6,1,5,leaky_relu,,,,,leaky_relu,2,linear,0.04142289801462246,3.1718202910482345e-05,10,none,,,,
9,-0.06397072474161784,6,1,2,identity,,,,,sigmoid,1,linear,0.11760036234179244,0.005770482067052009,6,exponential,0.9403036838589165,,,
10,0.20242144664128622,2,3,10,elu,10.0,relu,10.0,identity,identity,3,max,0.10152419424716,0.00016848585994910646,7,cosine,,,5.0,1e-05
11,0.4198291301727295,7,2,8,leaky_relu,2.0,relu,,,elu,3,max,0.055109007557370054,0.00010222531322634618,10,none,,,,
12,0.4055619239807129,7,2,9,sigmoid,2.0,relu,,,elu,3,max,0.07537463593661581,0.00010310902545926876,8,none,,,,
13,-0.06406474113464355,7,2,8,leaky_relu,2.0,leaky_relu,,,identity,3,max,0.05023509446681317,0.00048537534776532665,10,none,,,,
14,0.1667432188987732,3,2,8,elu,4.0,sigmoid,,,elu,3,max,0.10452882017678641,8.192126089620411e-05,9,step,0.1278755396170297,5.0,,
15,0.04954065879185995,3,3,7,leaky_relu,5.0,tanh,2.0,identity,tanh,2,max,0.09319868795711067,0.0014216602006606159,8,cosine,,,0.0,0.0
16,0.3721091349919637,2,2,5,sigmoid,2.0,relu,,,relu,3,max,0.0631895822402826,0.0002482401668320025,10,none,,,,
17,0.2907983859380086,5,2,7,identity,9.0,relu,,,identity,2,max,0.14940401197436726,5.2499328007818396e-05,7,none,,,,
18,-1.9779797792434692,7,3,10,elu,3.0,relu,8.0,leaky_relu,elu,3,max,0.12042005469809108,0.00040023809793090706,9,none,,,,
19,0.3983701268831889,4,3,5,leaky_relu,7.0,elu,7.0,relu,relu,2,max,0.02478605701577635,1.0289404925944549e-05,10,cosine,,,2.0,1e-06
20,0.3161843816439311,6,2,8,leaky_relu,5.0,tanh,,,tanh,1,max,0.08810302904904141,0.0011976060295088252,7,step,0.6192416250048473,30.0,,
21,0.450358768304189,7,2,9,sigmoid,2.0,relu,,,elu,3,max,0.058432234013278184,8.210003905641034e-05,8,none,,,,
22,0.41146520773569745,7,2,9,sigmoid,3.0,relu,,,elu,3,max,0.05904695794875071,7.045428692111985e-05,9,none,,,,
23,0.4136855999628703,7,2,9,sigmoid,3.0,relu,,,elu,3,max,0.034505813383099916,0.0002157232583026947,7,none,,,,
24,0.39486177762349445,6,2,7,elu,2.0,gelu,,,identity,2,max,0.055989998964917714,0.00010538305240812896,8,none,,,,
25,0.18536879618962607,5,1,6,sigmoid,,,,,elu,3,mean,0.11184598653619632,4.238818725983861e-05,10,none,,,,
