number,R²,log2_embed_size,num_layers,log2_layer_0,activation_1,log2_layer_1,activation_2,log2_layer_2,activation_3,final_activation,log2_num_heads,pooling,dropout,lr,epochs,scheduler,schel_t_max_mod,shchel_eta_min,schel_step_size,schel_gamma
0,0.2443234920501709,2,3,9,relu,7.0,relu,2.0,gelu,elu,1,mean,0.12426121165358861,0.008054459477752645,6,cosine,0.0,0.001,,
1,0.3157058556874593,6,3,10,sigmoid,10.0,tanh,7.0,elu,gelu,3,mean,0.06649569255138754,0.00016660221668061788,10,none,,,,
2,-0.00040491422017415363,7,2,4,tanh,6.0,gelu,,,gelu,3,max,0.09248528399434937,0.007668975521709051,9,step,,,25.0,0.8091816267314869
3,0.062358478705088295,3,2,5,identity,3.0,gelu,,,tanh,3,mean,0.13901525091177647,0.0006475710566238487,6,step,,,15.0,0.8418140434664649
4,0.41400933265686035,5,3,4,elu,3.0,tanh,5.0,elu,leaky_relu,2,max,0.0741671950838481,0.0001599028790536272,9,none,,,,
5,0.1072988510131836,2,3,9,sigmoid,9.0,tanh,7.0,elu,leaky_relu,2,linear,0.007624395547365581,0.0073759796747747105,9,step,,,25.0,0.7363050897303056
6,-0.0029021302858988443,2,1,6,identity,,,,,tanh,3,linear,0.04598414409258487,0.001366152344950279,8,none,,,,
7,0.3414224584897359,7,2,4,leaky_relu,4.0,gelu,,,gelu,1,linear,0.03536684191338638,2.0398063018628148e-05,7,none,,,,
8,0.3577013413111369,3,2,5,tanh,8.0,gelu,,,relu,0,max,0.059239293682390615,0.0010429491032104138,7,none,,,,
9,0.38990622758865356,6,2,9,gelu,8.0,relu,,,relu,3,max,0.06260057906872539,0.00029941918986980373,10,exponential,,,,0.9507368514622541
10,0.3981074094772339,5,1,2,elu,,,,,leaky_relu,2,max,0.1047097914029004,4.302476677427538e-05,9,exponential,,,,0.9866053601672953
11,0.3979472915331523,5,1,2,elu,,,,,leaky_relu,2,max,0.10356229893727086,5.125274413394782e-05,9,exponential,,,,0.9899865707183064
12,-2.793785572052002,4,1,2,elu,,,,,sigmoid,2,max,0.09665664465561756,7.326209316210828e-05,8,exponential,,,,0.9217341302041405
13,0.17760767539342245,5,3,3,elu,2.0,identity,3.0,relu,identity,1,max,0.11710733593624484,1.0119089087617674e-05,8,cosine,5.0,1e-06,,
14,0.4257153669993083,4,1,3,elu,,,,,leaky_relu,2,max,0.0841893017821817,7.10437679406804e-05,9,exponential,,,,0.9730147002273011
15,0.20991585652033487,4,1,7,elu,,,,,leaky_relu,0,max,0.08693503435100002,0.00011931905317824013,10,none,,,,
16,0.4107964833577474,4,3,4,relu,5.0,leaky_relu,10.0,leaky_relu,leaky_relu,2,max,0.02483397846972031,0.0003214685096404557,9,exponential,,,,0.8895570554254303
17,0.4304401675860087,6,2,7,gelu,2.0,sigmoid,,,identity,1,max,0.07806215158203059,2.5236272562556645e-05,8,cosine,2.0,0.0001,,
18,0.38230141003926593,6,1,7,gelu,,,,,identity,1,mean,0.08400565399994485,2.5100941554236962e-05,7,cosine,2.0,0.0001,,
19,0.27817227443059284,3,2,7,gelu,2.0,sigmoid,,,identity,0,linear,0.050400417869815306,1.2671613724827245e-05,8,cosine,3.0,1e-05,,
20,0.3314438462257385,6,1,6,leaky_relu,,,,,elu,1,max,0.14228152388688423,2.845794335108194e-05,7,cosine,2.0,0.0001,,
