number,R²,num_layers,log2_layer_0,activation_1,log2_layer_1,activation_2,final_activation,dropout,lr,epochs,scheduler,schel_step_size,schel_gamma,log2_layer_2,activation_3,schel_t_max_mod,shchel_eta_min,log2_layer_3,activation_4,log2_layer_4,activation_5
0,0.3809156020482381,2,6,leaky_relu,10.0,leaky_relu,leaky_relu,0.08467093124311775,0.0006125716715120983,6,none,,,,,,,,,,
1,0.2956204414367676,1,8,elu,,,gelu,0.018014688139389643,3.301815168087448e-05,8,step,15.0,0.358166037144075,,,,,,,,
2,0.4360930522282918,3,12,tanh,6.0,sigmoid,elu,0.1293886438823367,0.003639982249182838,8,step,30.0,0.16985870145957194,7.0,identity,,,,,,
3,0.3494075934092204,3,10,relu,12.0,identity,tanh,0.10271143197776784,3.6374650872775186e-05,8,exponential,,0.9192979885142732,6.0,tanh,,,,,,
4,0.2705909808476766,2,8,relu,5.0,sigmoid,tanh,0.003813743309476919,0.0036282926262115873,6,cosine,,,,,2.0,0.0,,,,
5,0.3234860102335612,1,9,gelu,,,elu,0.0036947722062999396,0.0033244277573863637,6,cosine,,,,,0.0,1e-05,,,,
6,0.12755314509073892,4,2,sigmoid,2.0,leaky_relu,elu,0.0720916049091624,0.0005202775830646239,6,cosine,,,2.0,tanh,0.0,1e-06,10.0,elu,,
7,0.05725498994191488,5,6,gelu,11.0,gelu,tanh,0.14322886321536582,0.00046348415092614,7,step,10.0,0.48655559086201505,3.0,leaky_relu,,,2.0,leaky_relu,4.0,leaky_relu
8,0.41398972272872925,3,11,gelu,4.0,gelu,sigmoid,0.14774770355256836,0.005399381349328794,8,none,,,10.0,leaky_relu,,,,,,
9,0.4078941543896993,3,12,identity,10.0,elu,elu,0.024481200538262502,0.0010699762167793254,10,none,,,8.0,tanh,,,,,,
10,0.35961220661799115,5,3,tanh,7.0,tanh,identity,0.1197631269576633,0.0077772475852539765,10,step,30.0,0.11420943898024041,6.0,identity,,,4.0,identity,11.0,elu
11,-0.3312869469324748,4,12,tanh,4.0,relu,sigmoid,0.1480986978804952,0.0075502420350357785,9,none,,,11.0,elu,,,12.0,relu,,
12,0.39190272490183514,2,11,gelu,6.0,sigmoid,relu,0.12282550871182789,0.00013509843732865097,9,exponential,,0.9869719313342213,,,,,,,,
13,0.4349578817685445,3,10,tanh,8.0,gelu,sigmoid,0.064212159335454,0.0018969129238480783,7,none,,,10.0,sigmoid,,,,,,
14,0.4046490391095479,4,10,tanh,8.0,gelu,sigmoid,0.05688886506258932,0.0017922832189262749,7,step,30.0,0.10000887562374088,8.0,sigmoid,,,7.0,sigmoid,,
15,0.37268660465876263,4,12,tanh,8.0,sigmoid,identity,0.04914148659261655,0.0001738626443978325,7,none,,,12.0,relu,,,7.0,gelu,,
16,0.411257266998291,2,10,tanh,8.0,tanh,gelu,0.09058201406787228,0.0018878523931135805,9,step,25.0,0.30595551243009356,,,,,,,,
17,0.3455066482226054,3,5,elu,6.0,identity,leaky_relu,0.04864892137363236,0.00133235202832078,7,exponential,,0.8469230044570062,9.0,sigmoid,,,,,,
18,0.4072377681732178,2,8,identity,2.0,relu,relu,0.06827233068076503,0.0001730505280791947,8,none,,,,,,,,,,
19,0.06085320313771566,3,9,sigmoid,10.0,elu,elu,0.11185056459249054,1.1920393998482114e-05,7,step,20.0,0.6490745116485881,4.0,gelu,,,,,,
20,-0.0009516874949137369,4,11,tanh,7.0,sigmoid,sigmoid,0.039153732601906174,0.00284020517836546,9,none,,,6.0,identity,,,10.0,tanh,,
21,0.2723361849784851,3,11,leaky_relu,4.0,gelu,sigmoid,0.1415819055603254,0.009426650783364493,8,none,,,10.0,leaky_relu,,,,,,
22,0.4041692813237508,3,11,gelu,4.0,gelu,sigmoid,0.1277729424949819,0.004212121924265833,8,none,,,10.0,identity,,,,,,
23,-0.013333479563395182,3,12,tanh,3.0,gelu,sigmoid,0.09807324734035686,0.005707396943146221,8,none,,,8.0,sigmoid,,,,,,
24,0.43521614869435626,3,9,gelu,6.0,gelu,sigmoid,0.1371615077238266,0.0010304306831107107,7,none,,,12.0,leaky_relu,,,,,,
25,0.45774126052856445,4,9,tanh,7.0,gelu,elu,0.1308144822308053,0.0008830114780788932,7,step,20.0,0.2722966807208579,12.0,gelu,,,4.0,elu,,
26,-0.6945193608601888,5,7,sigmoid,6.0,sigmoid,elu,0.12896323755340022,0.0007890197978683937,7,step,5.0,0.24490964245195854,12.0,gelu,,,4.0,elu,2.0,sigmoid
27,0.40750159819920856,4,9,relu,5.0,gelu,elu,0.13194660655984822,0.0003038793061608962,7,step,20.0,0.22640951620989705,12.0,gelu,,,4.0,elu,,
28,-0.015220403671264648,4,7,identity,7.0,relu,elu,0.11146807014415894,0.0002518396774215311,6,step,25.0,0.4306754465492897,5.0,elu,,,2.0,sigmoid,,
29,0.3911410371462504,2,5,leaky_relu,9.0,leaky_relu,leaky_relu,0.07986839314609194,0.0007543761239436482,6,step,15.0,0.590383268821614,,,,,,,,
30,0.41956136624018353,5,6,elu,5.0,tanh,elu,0.1098859828402532,0.0011104494576166728,7,exponential,,0.8419040934028124,7.0,relu,,,6.0,identity,12.0,gelu
31,0.45227070649464923,3,10,tanh,9.0,gelu,sigmoid,0.135765883024632,0.0015893713819488578,7,none,,,11.0,identity,,,,,,
32,0.4372285008430481,3,9,tanh,9.0,gelu,gelu,0.13661815526247334,0.00247220512036197,8,step,25.0,0.20820391261559557,11.0,identity,,,,,,
33,0.4343022108078003,2,8,tanh,9.0,gelu,gelu,0.12033544505076482,0.002382325069966525,8,step,25.0,0.17163911710598376,,,,,,,,
34,0.36061205466588336,4,10,tanh,9.0,identity,gelu,0.13309389353704668,0.0014689817883624806,8,step,30.0,0.3250711124694007,11.0,identity,,,9.0,gelu,,
35,0.4282410144805908,1,7,tanh,,,gelu,0.09170667277740938,0.0029309013823263733,8,cosine,,,,,5.0,0.001,,,,
36,0.4111630916595459,3,8,tanh,12.0,gelu,gelu,0.11713958231054328,7.071555301348833e-05,9,step,25.0,0.20315105205977652,11.0,identity,,,,,,
37,0.4275171160697937,3,9,relu,11.0,leaky_relu,tanh,0.10427378970159706,0.0005492063036542394,6,step,20.0,0.37527248249553885,9.0,identity,,,,,,
38,0.3959055344263713,2,10,tanh,9.0,sigmoid,elu,0.13948131597319255,0.0045853462085653435,8,cosine,,,,,5.0,0.0001,,,,
39,0.3494122823079427,4,8,leaky_relu,11.0,elu,relu,0.14855760498027062,0.0025714329556491564,6,step,30.0,0.2772633050945217,11.0,identity,,,6.0,leaky_relu,,
40,0.3822645346323649,1,9,tanh,,,leaky_relu,0.12813549685123224,0.0007115563602752583,8,exponential,,0.8218665112880209,,,,,,,,
41,0.46222694714864093,3,9,gelu,6.0,gelu,identity,0.13813439918856604,0.0004121712247768783,7,none,,,12.0,leaky_relu,,,,,,
