number,R²,num_layers,log2_layer_0,activation_1,log2_layer_1,activation_2,final_activation,dropout,lr,epochs,scheduler,log2_layer_2,activation_3,log2_layer_3,activation_4,schel_t_max_mod,shchel_eta_min,schel_gamma,log2_layer_4,activation_5,schel_step_size
0,0.2891254623730977,2,6,identity,14.0,identity,relu,0.13857891781887208,0.007850853488904415,9,none,,,,,,,,,,
1,0.21515822410583496,4,11,tanh,8.0,tanh,sigmoid,0.08307542835757627,1.1041345999065162e-05,6,none,8.0,relu,8.0,tanh,,,,,,
2,0.3517228166262309,4,9,leaky_relu,12.0,relu,sigmoid,0.023053203115333182,6.648992780164822e-05,9,cosine,4.0,sigmoid,13.0,relu,2.0,1e-05,,,,
3,0.3677274187405904,1,12,leaky_relu,,,identity,0.08858519799077146,6.360167536427656e-05,9,exponential,,,,,,,0.893793491510925,,,
4,0.38128026326497394,5,8,sigmoid,11.0,elu,gelu,0.09635354035728425,9.906230169746585e-05,8,none,10.0,gelu,11.0,tanh,,,,3.0,elu,
5,0.2885238329569499,4,10,tanh,2.0,sigmoid,gelu,0.058682437398904275,0.00017492048731874302,7,none,11.0,relu,5.0,relu,,,,,,
6,-0.015004475911458334,4,14,gelu,14.0,gelu,gelu,0.13836173211688063,0.00876640156510093,6,step,9.0,sigmoid,11.0,gelu,,,0.7966078350246293,,,20.0
7,0.32205084959665936,3,3,tanh,4.0,leaky_relu,tanh,0.08724451001443098,1.4502438872331456e-05,9,cosine,9.0,elu,,,2.0,1e-06,,,,
8,0.2805353005727132,4,2,relu,14.0,elu,tanh,0.07973324776312209,0.005655343484242522,6,step,4.0,gelu,8.0,leaky_relu,,,0.5501015222300224,,,5.0
9,0.3888741731643677,1,9,leaky_relu,,,relu,0.13190641325211466,8.431443990913083e-05,6,step,,,,,,,0.19023381430088354,,,20.0
10,0.405679186185201,1,6,elu,,,relu,0.11850652196071003,0.0008768033046003243,7,step,,,,,,,0.10674308966515517,,,30.0
11,0.4101189374923706,1,6,elu,,,relu,0.1188432341155454,0.0009483977271709711,7,step,,,,,,,0.12535249140248508,,,30.0
12,0.4164564808209737,2,5,elu,7.0,sigmoid,leaky_relu,0.11366698566457206,0.000993944835928054,7,step,,,,,,,0.15559295957745933,,,30.0
13,0.41866397857666016,2,5,elu,7.0,sigmoid,leaky_relu,0.11023577677409244,0.0009857166496522933,7,step,,,,,,,0.3169729016963916,,,30.0
14,0.21109557151794434,2,4,elu,7.0,sigmoid,leaky_relu,0.05555088974250646,0.0015378113408536344,8,exponential,,,,,,,0.8254440417732735,,,
15,0.43015599250793457,2,4,elu,5.0,sigmoid,leaky_relu,0.11026752954864309,0.0025238018092504366,10,step,,,,,,,0.3236968233345884,,,30.0
16,0.35834501187006634,3,2,elu,5.0,sigmoid,elu,0.05650480341270828,0.0026831657218160925,10,step,14.0,tanh,,,,,0.355072117923987,,,25.0
17,0.20208527644475302,3,4,relu,9.0,sigmoid,leaky_relu,0.10272459490114244,0.000466265496000686,10,step,2.0,leaky_relu,,,,,0.37846730798989286,,,10.0
18,0.38011618455251056,2,7,gelu,5.0,identity,leaky_relu,0.040272290389126726,0.0030760216400574007,8,exponential,,,,,,,0.8067810247393503,,,
19,0.3656982183456421,2,4,sigmoid,2.0,leaky_relu,leaky_relu,0.14988512746612045,0.0003357601478372308,10,cosine,,,,,5.0,0.0001,,,,
20,0.40690592924753827,2,7,identity,4.0,tanh,identity,0.10327096298970434,0.0032492999827313357,8,step,,,,,,,0.33708070901122417,,,25.0
21,0.4173203905423482,2,5,elu,7.0,sigmoid,leaky_relu,0.11618320561844978,0.0006700719921432666,7,step,,,,,,,0.26210242796749617,,,30.0
22,-0.010859906673431396,3,5,elu,6.0,sigmoid,leaky_relu,0.125548277319988,0.0005443463317670283,7,step,14.0,identity,,,,,0.25630354168768144,,,25.0
23,0.31664079427719116,2,3,elu,9.0,sigmoid,leaky_relu,0.0012600494569664222,0.0017595918844430826,7,step,,,,,,,0.4938779444825482,,,30.0
24,0.4051860570907593,3,5,elu,7.0,relu,elu,0.11117171569624462,0.00018233562282033588,7,step,6.0,elu,,,,,0.49765531681049824,,,25.0
25,0.3321927587191264,1,3,elu,,,leaky_relu,0.09837110030254492,0.0005594994580335768,8,step,,,,,,,0.2653000636927365,,,15.0
26,0.39936381578445435,2,7,elu,9.0,gelu,leaky_relu,0.07115289002017613,0.0018725974166665337,6,step,,,,,,,0.4505473213152749,,,30.0
27,0.4177037278811137,3,5,elu,4.0,sigmoid,leaky_relu,0.14927348639218135,0.005469654396192203,7,cosine,6.0,tanh,,,0.0,0.001,,,,
28,0.29636555910110474,3,8,gelu,3.0,sigmoid,leaky_relu,0.14748266233118545,0.005233906093971166,8,cosine,6.0,tanh,,,0.0,0.001,,,,
29,0.4116463263829549,3,6,identity,5.0,sigmoid,elu,0.13374310168614334,0.005226405303540616,9,cosine,12.0,tanh,,,0.0,0.001,,,,
30,-0.08161441485087077,5,4,sigmoid,4.0,sigmoid,sigmoid,0.07220574659494977,0.009219565597352245,10,cosine,6.0,identity,2.0,sigmoid,4.0,0.0,,14.0,sigmoid,
31,0.43409572045008343,2,5,elu,6.0,sigmoid,leaky_relu,0.12863790654515866,0.0012458896330675047,7,cosine,,,,,1.0,0.001,,,,
32,0.4153154095013936,2,6,elu,6.0,sigmoid,leaky_relu,0.12823564905306603,0.0014499052218725178,7,cosine,,,,,1.0,0.001,,,,
33,0.35717801253000897,2,3,elu,6.0,sigmoid,leaky_relu,0.14196714656832748,0.003684192507234939,6,cosine,,,,,1.0,0.001,,,,
34,0.41419869661331177,3,5,relu,3.0,elu,identity,0.12522958892424113,0.0025526080269814085,8,cosine,2.0,leaky_relu,,,0.0,0.001,,,,
35,0.3861575921376546,1,2,identity,,,sigmoid,0.13954860618554182,0.001209990333817609,9,none,,,,,,,,,,
36,0.37558438380559284,2,7,leaky_relu,5.0,identity,tanh,0.10733804488283971,0.0020774904444741315,7,cosine,,,,,1.0,0.0,,,,
37,0.25690831740697223,4,8,tanh,8.0,relu,leaky_relu,0.09108330182019073,0.004504299211874243,6,exponential,4.0,tanh,2.0,elu,,,0.9768693781409438,,,
