number,R²,num_layers,log2_layer_0,activation_1,log2_layer_1,activation_2,final_activation,dropout,lr,epochs,scheduler,log2_layer_2,activation_3,log2_layer_3,activation_4,schel_gamma,log2_layer_4,activation_5,schel_step_size,schel_t_max_mod,shchel_eta_min
0,0.09425320227940877,2,11,tanh,2.0,sigmoid,elu,0.13869981052359573,6.931839722195001e-05,7,none,,,,,,,,,,
1,-0.36540790398915607,4,10,gelu,5.0,elu,tanh,0.0762872809889555,0.00022061797043004835,9,exponential,3.0,identity,4.0,identity,0.8129809771545146,,,,,
2,0.1341543197631836,5,5,gelu,11.0,elu,identity,0.004758541265147398,6.210943921697499e-05,10,none,11.0,elu,2.0,relu,,7.0,gelu,,,
3,-1.9601011276245117,2,11,gelu,5.0,elu,gelu,0.026120828180705984,1.7842184943619528e-05,7,exponential,,,,,0.8122446275709932,,,,,
4,0.0817619760831197,2,6,tanh,3.0,elu,tanh,0.14740709346464323,0.003767178257099634,7,exponential,,,,,0.9164594809911284,,,,,
5,0.2975869377454122,3,3,identity,6.0,tanh,tanh,0.07565143722377705,0.0016528753643670494,6,step,5.0,sigmoid,,,0.41973711903422506,,,15.0,,
6,0.2799980640411377,3,4,identity,11.0,tanh,relu,0.06184558690422423,0.0002459583039516898,7,none,2.0,sigmoid,,,,,,,,
7,0.2563784917195638,1,10,gelu,,,elu,0.09427841934346826,0.0002600201808579188,9,exponential,,,,,0.9747037129752435,,,,,
8,0.18982720375061035,1,7,relu,,,elu,0.08263545177723204,0.005187019221173789,10,none,,,,,,,,,,
9,0.18171685934066772,1,11,sigmoid,,,sigmoid,0.07035697226530448,0.0011594652148026814,6,cosine,,,,,,,,,5.0,1e-06
10,0.2905643979708354,4,2,identity,7.0,tanh,leaky_relu,0.11209302224245893,0.0012669529298888532,6,step,7.0,sigmoid,11.0,tanh,0.21335749847098565,,,15.0,,
11,0.28282471497853595,4,2,identity,8.0,tanh,leaky_relu,0.11669653205627001,0.0013206196146752266,6,step,6.0,sigmoid,12.0,tanh,0.17877439729506822,,,15.0,,
12,0.25141902764638263,4,2,identity,8.0,relu,leaky_relu,0.11134419138659891,0.0009434584715353653,6,step,7.0,leaky_relu,11.0,tanh,0.293892982832049,,,15.0,,
13,0.18592007954915366,3,3,elu,6.0,identity,leaky_relu,0.04609226203927465,0.0022448943179570807,8,step,5.0,gelu,,,0.46121462385189316,,,15.0,,
14,-0.009568333625793457,5,4,leaky_relu,9.0,gelu,tanh,0.10875333078617105,0.007461513735511805,6,step,9.0,relu,8.0,sigmoid,0.40311811758890365,12.0,identity,30.0,,
15,0.25092748800913495,4,8,identity,6.0,leaky_relu,identity,0.12330003208170016,0.0006097143288886065,8,step,8.0,tanh,8.0,elu,0.128177064642779,,,5.0,,
16,0.0995477835337321,3,2,identity,4.0,tanh,gelu,0.04899559483917655,0.002424022377261338,6,cosine,4.0,sigmoid,,,,,,,0.0,0.0
17,-0.0052358706792195635,5,4,sigmoid,9.0,tanh,sigmoid,0.09348108374262232,0.00974696855565258,7,step,10.0,sigmoid,10.0,leaky_relu,0.5947013253177882,2.0,leaky_relu,25.0,,
18,0.00024827321370442707,4,8,relu,7.0,tanh,relu,0.09599176543486682,0.0006151269813,8,step,6.0,sigmoid,6.0,gelu,0.29682400407916365,,,5.0,,
19,0.22023075819015503,3,3,leaky_relu,7.0,identity,leaky_relu,0.05221809627202899,0.00011585047956434248,6,step,12.0,identity,,,0.5866426433758775,,,20.0,,
20,0.24447510639826456,2,6,elu,10.0,gelu,tanh,0.1277490513188958,0.000528669056477033,8,cosine,,,,,,,,,2.0,0.001
21,0.27714526653289795,4,2,identity,8.0,tanh,leaky_relu,0.11196415855455111,0.0021708182560063382,6,step,6.0,sigmoid,12.0,tanh,0.12272187288702063,,,15.0,,
22,0.2570794423421224,3,3,identity,8.0,tanh,leaky_relu,0.1269874644188388,0.001227787688501514,6,step,7.0,sigmoid,,,0.24543570503915021,,,10.0,,
23,0.2940315802892049,4,2,identity,6.0,tanh,leaky_relu,0.09947064660316272,0.0015583932329409885,7,step,5.0,sigmoid,10.0,tanh,0.2131058397363283,,,20.0,,
24,0.09673545757929485,5,5,identity,6.0,leaky_relu,leaky_relu,0.08540360175943626,0.00382115677222536,7,step,4.0,gelu,9.0,tanh,0.36937806198716316,2.0,relu,20.0,,
25,0.2923088073730469,3,3,identity,5.0,relu,tanh,0.10228350098119168,0.0020108120188077334,7,step,5.0,elu,,,0.22759740160402345,,,20.0,,
26,0.29079941908518475,3,5,identity,4.0,relu,tanh,0.0638804411500365,0.0004331125768465471,7,step,4.0,elu,,,0.525703531407028,,,25.0,,
27,0.3070196509361267,3,3,identity,5.0,relu,tanh,0.10179958897164919,0.0027716364754895436,7,step,5.0,elu,,,0.3295095509812819,,,20.0,,
28,0.1915631890296936,2,4,relu,4.0,sigmoid,tanh,0.034005461221212174,0.004590006403829019,9,cosine,,,,,,,,,5.0,1e-05
29,-0.4966383179028829,3,3,tanh,3.0,relu,tanh,0.14125765700269927,0.00013250275673127278,7,none,2.0,relu,,,,,,,,
30,0.03502939144770304,2,6,sigmoid,6.0,relu,sigmoid,0.08806631272467459,0.0007848945994824506,7,step,,,,,0.36696058753349553,,,25.0,,
31,0.28253674507141113,3,3,identity,5.0,relu,tanh,0.10358221586444813,0.0018494291602753766,7,step,5.0,elu,,,0.29724083870049434,,,20.0,,
32,0.27501630783081055,3,3,identity,5.0,relu,tanh,0.07467938022491041,0.002877476670230244,8,step,5.0,elu,,,0.44992754736188856,,,20.0,,
33,0.3099457025527954,4,4,identity,2.0,sigmoid,tanh,0.10253990371528962,0.0068667606837740525,7,step,5.0,elu,6.0,leaky_relu,0.23912258928505759,,,20.0,,
34,0.049594879150390625,4,4,elu,2.0,sigmoid,identity,0.0825751804238187,0.006571113145678606,8,exponential,3.0,leaky_relu,6.0,leaky_relu,0.8270101167265733,,,,,
35,-4.369305451711019,4,5,leaky_relu,2.0,sigmoid,gelu,0.09929575363950442,3.2932153933741536e-05,7,step,4.0,tanh,5.0,leaky_relu,0.33091582675811865,,,10.0,,
36,-0.024590333302815754,5,2,tanh,3.0,sigmoid,tanh,0.06676233297158704,0.0097821152913593,7,none,6.0,elu,3.0,gelu,,12.0,sigmoid,,,
37,-5.887417157491048,4,5,gelu,4.0,sigmoid,relu,0.12108200466915775,1.0654987027580946e-05,7,exponential,3.0,elu,7.0,relu,0.8442355844547635,,,,,
38,0.24996129671732584,2,4,identity,7.0,gelu,elu,0.014910169429186021,0.0036107110079020596,9,step,,,,,0.1916807006982026,,,25.0,,
39,0.2801285187403361,4,4,identity,2.0,identity,tanh,0.07724166471210643,0.005652710507783111,6,none,8.0,elu,9.0,identity,,,,,,
40,0.27376745144526166,5,7,gelu,6.0,elu,tanh,0.13342262454729642,0.0031515088972721888,8,exponential,3.0,identity,7.0,elu,0.8590816164021289,7.0,tanh,,,
41,0.2876649697621663,3,3,identity,5.0,relu,tanh,0.10225413375822807,0.00182871608032451,7,step,5.0,elu,,,0.24919604847981608,,,20.0,,
