number,R²,num_layers,log2_layer_0,activation_1,log2_layer_1,activation_2,final_activation,dropout,lr,epochs,scheduler,log2_layer_2,activation_3,log2_layer_3,activation_4,log2_layer_4,activation_5,schel_t_max_mod,shchel_eta_min,schel_gamma,schel_step_size
0,0.1347604195276896,2,10,tanh,10.0,identity,leaky_relu,0.07606177700531448,5.0499881539180946e-05,8,none,,,,,,,,,,
1,0.10642880201339722,5,4,elu,10.0,leaky_relu,gelu,0.03268674028589184,1.0366470245774629e-05,10,none,4.0,tanh,4.0,leaky_relu,10.0,sigmoid,,,,
2,0.0648270845413208,4,8,tanh,12.0,identity,tanh,0.03616772156792447,0.005988824530743654,8,cosine,6.0,tanh,5.0,sigmoid,,,0.0,0.0,,
3,-23.72572898864746,2,5,relu,10.0,elu,identity,0.06817127944153172,2.369778504260136e-05,6,exponential,,,,,,,,,0.8420349930200265,
4,-0.05434314409891764,5,4,elu,12.0,sigmoid,tanh,0.12931368379424854,4.8097399786943985e-05,8,none,3.0,sigmoid,4.0,relu,12.0,relu,,,,
5,-12.877885023752848,2,2,tanh,12.0,tanh,elu,0.021135940961072245,2.372653835664714e-05,10,step,,,,,,,,,0.17339503975665718,15.0
6,0.35799922545750934,1,11,leaky_relu,,,relu,0.09084791033536524,0.0003238973928753133,10,exponential,,,,,,,,,0.8994623374473507,
7,-20.751868565877277,1,3,tanh,,,relu,0.02249160108190861,1.2532546508302798e-05,7,step,,,,,,,,,0.16413899569408041,25.0
8,0.3013588786125183,4,11,elu,9.0,tanh,leaky_relu,0.10845302535932602,5.021908411160684e-05,7,cosine,12.0,tanh,8.0,elu,,,4.0,1e-05,,
9,-17.123956044514973,3,2,elu,4.0,identity,identity,0.04705909593963832,0.0004620811492672972,10,step,6.0,relu,,,,,,,0.15090050576807537,5.0
10,0.4962433973948161,1,12,leaky_relu,,,relu,0.10320700798215016,0.0008856657598701567,9,exponential,,,,,,,,,0.9371645435543121,
11,0.46275222301483154,1,12,leaky_relu,,,relu,0.10465380438218616,0.0006975549541117529,9,exponential,,,,,,,,,0.933087346020042,
12,0.45120763778686523,1,12,leaky_relu,,,sigmoid,0.1346638274949489,0.0017563439568541793,9,exponential,,,,,,,,,0.9673657244550119,
13,0.4203544060389201,1,8,gelu,,,relu,0.10882310488689674,0.0010339290448552643,9,exponential,,,,,,,,,0.9418811827177278,
14,-0.03415409723917643,2,9,identity,2.0,gelu,relu,0.10871221428036111,0.002961477305501304,9,exponential,,,,,,,,,0.9202823260161868,
15,0.16998372475306192,3,12,leaky_relu,6.0,relu,relu,0.14669173653349288,0.00014421442097287444,9,exponential,12.0,leaky_relu,,,,,,,0.983305524480299,
16,-0.4103688995043437,1,6,sigmoid,,,sigmoid,0.09214970332222441,0.0008011729870069353,9,exponential,,,,,,,,,0.8657494853875889,
17,0.37771966060002643,3,10,leaky_relu,6.0,gelu,elu,0.058664907140050265,0.00013439883854759037,7,exponential,9.0,elu,,,,,,,0.9451731167446233,
18,0.329953134059906,2,7,leaky_relu,3.0,sigmoid,relu,0.0046333288127203,0.009491100321925423,9,cosine,,,,,,,1.0,1e-06,,
19,-0.240558127562205,1,12,sigmoid,,,gelu,0.08651071760153735,0.002739771993662795,8,exponential,,,,,,,,,0.8974181427305677,
20,0.2883741060892741,3,10,identity,8.0,elu,relu,0.12226498328930753,0.00017733389452405818,6,exponential,9.0,gelu,,,,,,,0.9349509805038959,
21,0.4543188015619914,1,12,leaky_relu,,,sigmoid,0.14783565093671594,0.0015232803528613557,9,exponential,,,,,,,,,0.9759526961202569,
