number,R²,num_layers,log2_layer_0,activation_1,final_activation,dropout,lr,epochs,scheduler,log2_layer_1,activation_2,log2_layer_2,activation_3,log2_layer_3,activation_4,schel_gamma,schel_step_size,schel_t_max_mod,shchel_eta_min,log2_layer_4,activation_5
0,-1.6421535015106201,1,12,gelu,leaky_relu,0.09616195535392776,1.662575900325242e-05,7,none,,,,,,,,,,,,
1,-6.908618609110515,4,2,identity,elu,0.027230666738997825,2.8699015229796852e-05,10,exponential,3.0,sigmoid,8.0,gelu,7.0,relu,0.8076110306421402,,,,,
2,-6.387489318847656,2,3,tanh,identity,0.06821471747419025,1.2787615148190495e-05,7,step,5.0,tanh,,,,,0.8250794677353133,10.0,,,,
3,-0.36526942253112793,3,2,gelu,sigmoid,0.005019442531801727,0.000764707110976206,8,none,3.0,relu,4.0,elu,,,,,,,,
4,-0.5620457927385966,2,11,leaky_relu,elu,0.13740799675566848,0.0001843533203305606,6,exponential,5.0,relu,,,,,0.8060555148228631,,,,,
5,-0.15349082152048746,4,8,gelu,leaky_relu,0.07688518845041806,0.009692256036813373,10,step,10.0,tanh,12.0,sigmoid,11.0,leaky_relu,0.3687616423041077,20.0,,,,
6,-0.8507981896400452,3,3,relu,relu,0.07221188752480893,1.4761674259442599e-05,10,cosine,7.0,gelu,2.0,relu,,,,,4.0,0.001,,
7,-5.844550609588623,2,3,elu,sigmoid,0.1247422504093039,2.276117944662137e-05,10,exponential,8.0,relu,,,,,0.9898885283033823,,,,,
8,-1.5260067582130432,3,10,elu,tanh,0.10334328609875307,2.5183500548373596e-05,8,cosine,7.0,gelu,6.0,relu,,,,,4.0,1e-06,,
9,-6.947220961252849,3,9,gelu,relu,0.019541602053772172,2.9007629512402108e-05,8,exponential,9.0,gelu,6.0,relu,,,0.8269836415321721,,,,,
10,-186.63129329681396,5,7,sigmoid,leaky_relu,0.043799414399472165,0.005526736010548113,9,step,12.0,tanh,12.0,sigmoid,12.0,leaky_relu,0.1775084117793862,30.0,,,7.0,elu
11,-0.18516973654429117,5,6,gelu,sigmoid,0.006536351372565016,0.00815660410699934,9,none,11.0,leaky_relu,12.0,elu,12.0,leaky_relu,,,,,12.0,sigmoid
12,-6.591289520263672,5,6,gelu,gelu,0.05189417452174015,0.009977364751816686,9,step,12.0,leaky_relu,12.0,identity,12.0,leaky_relu,0.31244403880588123,20.0,,,11.0,sigmoid
13,-0.6125988960266113,4,5,gelu,leaky_relu,0.09414599406410953,0.0024800689615072993,9,none,10.0,identity,10.0,leaky_relu,12.0,sigmoid,,,,,,
14,-2.157106320063273,4,8,leaky_relu,sigmoid,0.04750444271439468,0.0018203771559885558,9,step,10.0,leaky_relu,10.0,tanh,2.0,leaky_relu,0.47548887970707154,20.0,,,,
15,-0.7890389561653137,5,5,tanh,identity,0.08124953589963427,0.00018043708068569652,10,none,11.0,elu,10.0,sigmoid,9.0,tanh,,,,,12.0,sigmoid
16,-10.600740949312845,4,8,relu,tanh,0.0010432699099577197,0.0031074288186767455,9,step,10.0,tanh,12.0,elu,9.0,elu,0.46800854778368917,5.0,,,,
17,-1.6840508977572124,5,6,identity,gelu,0.11614954380910134,0.0006877966233765698,10,none,8.0,leaky_relu,8.0,sigmoid,9.0,gelu,,,,,2.0,leaky_relu
