number,R²,num_layers,log2_layer_0,activation_1,log2_layer_1,activation_2,log2_layer_2,activation_3,log2_layer_3,activation_4,final_activation,dropout,lr,epochs,scheduler,schel_step_size,schel_gamma,schel_t_max_mod,shchel_eta_min,log2_layer_4,activation_5
0,0.4377484718958537,4,4,leaky_relu,5.0,elu,6.0,elu,6.0,leaky_relu,elu,0.09429326676545331,0.00037956265638717764,9,none,,,,,,
1,-2.610961596171061,3,6,identity,4.0,gelu,4.0,tanh,,,sigmoid,0.09236951689490015,0.002784010579349957,8,step,5.0,0.14009552654416257,,,,
2,0.4172695477803548,2,7,relu,11.0,relu,,,,,sigmoid,0.14096679954271454,9.484720041202487e-05,8,cosine,,,0.0,1e-05,,
3,0.1548420786857605,2,6,elu,10.0,sigmoid,,,,,gelu,0.07745010624803932,0.005119785760925322,6,exponential,,0.8717714613607315,,,,
4,0.09672300020853679,4,3,gelu,8.0,tanh,6.0,relu,8.0,identity,leaky_relu,0.0007560713289962495,0.004787905398618409,8,cosine,,,5.0,1e-05,,
5,-0.027836044629414875,2,7,sigmoid,12.0,gelu,,,,,sigmoid,0.1258119800152597,0.0017938485191950123,9,exponential,,0.912637351470187,,,,
6,-0.03325676918029785,4,2,tanh,8.0,gelu,4.0,relu,11.0,tanh,tanh,0.14904134556456392,0.006368272154185173,10,none,,,,,,
7,0.05718257029851278,5,2,tanh,3.0,identity,8.0,leaky_relu,9.0,leaky_relu,relu,0.07198478788344541,2.0504616753020263e-05,7,cosine,,,3.0,0.0001,2.0,gelu
8,0.09952108065287273,5,8,tanh,5.0,elu,3.0,relu,8.0,sigmoid,tanh,0.0983899801174024,2.6911729228797556e-05,7,cosine,,,4.0,1e-05,12.0,leaky_relu
9,-3.7133873303731284,2,12,leaky_relu,3.0,gelu,,,,,leaky_relu,0.11638525035901523,1.7546159175130353e-05,8,exponential,,0.8740449806896317,,,,
10,0.42277371883392334,1,4,leaky_relu,,,,,,,elu,0.03809080119333257,0.000561916130441659,10,none,,,,,,
11,0.41416190067927044,1,4,leaky_relu,,,,,,,elu,0.03840084589062322,0.00042887116959579964,10,none,,,,,,
12,0.349676251411438,4,4,leaky_relu,6.0,elu,12.0,elu,2.0,leaky_relu,elu,0.037621265521627985,0.00047483491472906613,9,none,,,,,,
13,0.38231080770492554,1,5,leaky_relu,,,,,,,elu,0.048084479741289404,0.0001080769258611634,10,none,,,,,,
14,0.30267806847890216,3,9,leaky_relu,2.0,leaky_relu,9.0,elu,,,identity,0.012108154899603221,0.0009924906239338236,9,none,,,,,,
15,0.39568378527959186,4,10,relu,7.0,elu,11.0,identity,4.0,gelu,elu,0.06267967365715606,0.00012692984097772926,9,step,30.0,0.4032780628018963,,,,
16,0.16617347796758017,3,4,elu,5.0,leaky_relu,6.0,sigmoid,,,elu,0.02388695321064698,0.0009506292537202435,10,none,,,,,,
17,0.4500335653622945,1,5,identity,,,,,,,identity,0.09505482884989255,0.000209480034993957,9,none,,,,,,
18,0.4269801576932271,5,6,identity,9.0,sigmoid,2.0,gelu,5.0,relu,identity,0.10394219902512015,0.0001702992035963318,9,none,,,,,7.0,identity
19,-0.582434892654419,4,5,identity,6.0,identity,10.0,elu,5.0,elu,identity,0.0901688143214725,3.8707780973493436e-05,7,step,20.0,0.5458510561684715,,,,
20,0.021227141221364338,3,3,sigmoid,2.0,tanh,7.0,sigmoid,,,relu,0.12131758750337884,0.00023553574019417328,9,none,,,,,,
21,0.2960810859998067,5,6,identity,9.0,sigmoid,5.0,gelu,5.0,relu,identity,0.1044824093533347,0.00021750314564124263,9,none,,,,,7.0,identity
22,0.4124801556269328,5,5,identity,10.0,sigmoid,3.0,gelu,6.0,relu,identity,0.10635694426662674,6.104150423074391e-05,9,none,,,,,6.0,identity
