number,R²,num_layers,log2_layer_0,activation_1,log2_layer_1,activation_2,log2_layer_2,activation_3,final_activation,dropout,lr,epochs,scheduler,schel_step_size,schel_gamma,log2_layer_3,activation_4,log2_layer_4,activation_5,schel_t_max_mod,shchel_eta_min
0,0.45681552092234295,3,11,relu,6.0,tanh,4.0,gelu,relu,0.09366524126475162,0.0004302178666392791,9,none,,,,,,,,
1,-0.11801648139953613,3,3,sigmoid,12.0,relu,11.0,sigmoid,relu,0.09504082815897076,1.2177611243638346e-05,7,step,10.0,0.6429066970216032,,,,,,
2,0.4503163695335388,5,8,gelu,3.0,tanh,8.0,tanh,identity,0.0650123242067423,0.00037937863546263194,8,cosine,,,9.0,sigmoid,6.0,elu,3.0,0.0001
3,-0.36520137389500934,1,11,identity,,,,,tanh,0.079489620089476,0.0006581236902218674,7,none,,,,,,,,
4,0.3255166212717692,1,10,leaky_relu,,,,,relu,0.14280039254355723,0.004317586448522715,8,cosine,,,,,,,2.0,1e-06
5,-0.07961185773213704,4,5,identity,8.0,tanh,11.0,relu,leaky_relu,0.13305104963195657,0.0009131998182574446,8,exponential,,0.8038497266821993,7.0,identity,,,,
6,0.4030398726463318,1,11,relu,,,,,tanh,0.0856881845177379,0.0005426001109387823,6,none,,,,,,,,
7,-0.5871279239654541,2,10,gelu,7.0,sigmoid,,,elu,0.01693400908563587,1.380210417205755e-05,9,step,10.0,0.7540906784586475,,,,,,
8,-9.26614761352539,4,5,elu,7.0,elu,4.0,gelu,leaky_relu,0.04018384418638292,2.86698884482838e-05,8,step,15.0,0.8903126872321993,6.0,relu,,,,
9,0.0014052391052246094,4,8,sigmoid,12.0,sigmoid,7.0,elu,leaky_relu,0.08119446813503123,0.0007332278314191536,9,cosine,,,2.0,sigmoid,,,5.0,1e-05
10,-1.7275015910466511,3,12,relu,2.0,leaky_relu,2.0,gelu,sigmoid,0.11512773517248569,6.401548828391871e-05,10,none,,,,,,,,
11,0.46311906973520917,5,8,tanh,3.0,tanh,7.0,tanh,identity,0.04787431428366713,0.00012882960300343607,10,cosine,,,10.0,sigmoid,6.0,elu,0.0,0.0001
12,0.2845749457677205,5,7,tanh,4.0,identity,6.0,leaky_relu,gelu,0.05024393036587248,0.00011321989596276457,10,exponential,,0.9592504382153362,12.0,leaky_relu,12.0,leaky_relu,,
13,0.17799872159957886,2,9,tanh,5.0,gelu,,,identity,0.0006441867349215313,0.00013991553211966794,9,cosine,,,,,,,0.0,0.0001
14,0.5239467819531759,2,6,tanh,5.0,tanh,,,identity,0.10717155851523932,0.0024035978691027034,10,none,,,,,,,,
15,0.5448980728785197,2,6,tanh,9.0,tanh,,,identity,0.11857310693537274,0.004698386323957279,10,none,,,,,,,,
16,0.3828776478767395,2,5,tanh,10.0,tanh,,,identity,0.11564111598279883,0.007309881926234078,10,none,,,,,,,,
17,0.4643515745798747,2,3,tanh,9.0,elu,,,identity,0.1170092696731536,0.0022821058245634097,10,none,,,,,,,,
18,0.5435607035954794,2,6,leaky_relu,10.0,identity,,,sigmoid,0.10514417469236118,0.002203759259088279,9,none,,,,,,,,
19,0.537106474240621,3,4,leaky_relu,10.0,identity,12.0,identity,sigmoid,0.1297955505241268,0.0017161272125622263,9,none,,,,,,,,
