number,R²,num_layers,log2_layer_0,activation_1,log2_layer_1,activation_2,log2_layer_2,activation_3,log2_layer_3,activation_4,final_activation,dropout,lr,epochs,scheduler,schel_step_size,schel_gamma,log2_layer_4,activation_5,schel_t_max_mod,shchel_eta_min
0,-0.07160695393880208,4,9,identity,7.0,relu,4.0,sigmoid,4.0,elu,leaky_relu,0.125591528961754,0.002383549547164987,8,step,20.0,0.2805723523644702,,,,
1,-7.005688508351644,3,8,tanh,2.0,leaky_relu,6.0,leaky_relu,,,tanh,0.011770256733139932,0.00011160059265084149,6,none,,,,,,
2,-16.72314739227295,2,9,sigmoid,12.0,identity,,,,,elu,0.06102122558738512,0.0032612661001146246,9,exponential,,0.8039075955952883,,,,
3,-0.027014116446177166,5,4,tanh,3.0,relu,7.0,gelu,12.0,identity,relu,0.14251608992150658,0.00498254671865857,8,cosine,,,12.0,elu,4.0,0.0
4,-3.7204205989837646,2,2,gelu,6.0,elu,,,,,identity,0.0439664340817751,0.0002626648602660859,8,exponential,,0.9766473473887904,,,,
5,-0.3165520429611206,3,5,identity,2.0,leaky_relu,7.0,leaky_relu,,,relu,0.08117790331631132,0.0002741296362087195,7,none,,,,,,
6,0.17113500833511353,3,2,gelu,10.0,gelu,5.0,elu,,,tanh,0.06708512311021474,0.0011480461294637628,10,none,,,,,,
7,0.16676731904347739,1,5,leaky_relu,,,,,,,relu,0.06943681579409476,0.0009122241680688944,9,exponential,,0.940196952658293,,,,
8,0.15475459893544516,5,7,sigmoid,6.0,elu,7.0,elu,6.0,leaky_relu,relu,0.12828188606883198,1.004785916785196e-05,9,cosine,,,11.0,identity,4.0,0.001
9,-11.262357076009115,2,3,elu,7.0,gelu,,,,,leaky_relu,0.01073878906503265,4.3312027487979945e-05,6,none,,,,,,
10,-17.72248649597168,4,12,gelu,11.0,gelu,12.0,elu,12.0,sigmoid,tanh,0.09387009642231202,0.0008701505654506487,10,step,5.0,0.11426168473290432,,,,
11,-0.4436514377593994,1,5,leaky_relu,,,,,,,sigmoid,0.044514261669517594,0.0009502114108161171,10,exponential,,0.9510370965086269,,,,
12,0.29227789243062335,1,2,relu,,,,,,,gelu,0.08240069638883822,0.0010318728617897167,9,none,,,,,,
13,0.2567608157793681,1,2,relu,,,,,,,gelu,0.09552657020138618,0.0013235239106210387,10,none,,,,,,
14,0.1980201800664266,1,2,relu,,,,,,,gelu,0.11003969872314061,0.008516990156733914,9,none,,,,,,
15,0.22718568642934164,1,4,relu,,,,,,,gelu,0.09855129144719796,0.0004089374605296013,10,none,,,,,,
16,0.08147076765696208,2,11,relu,4.0,sigmoid,,,,,gelu,0.1068134190433575,0.0021889771322530223,9,none,,,,,,
